"Study_ID","Study_ID_Plus","Country","Zone","Focus","Study_Site","Animal_Species_Corrected","Plant_Species_Corrected","Animal_Family","Plant_Family"
"CD78","CD78Site_10","Gabon","AC","Animal","Site_10","Frugivore_189","Plant_425","Family_40","Family_44"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_425","Family_40","Family_44"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_427","Family_40","Family_44"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_99","Family_40","Family_6"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_515","Family_40","Family_51"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_939","Family_40","Family_90"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_912","Family_40","Family_84"
"CD78","CD78Site_10","Gabon","AC","Animal","Site_10","Frugivore_189","Plant_912","Family_40","Family_84"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_150","Family_40","Family_14"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_152","Family_40","Family_14"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_649","Family_40","Family_63"
"CD78","CD78Site_10","Gabon","AC","Animal","Site_10","Frugivore_189","Plant_649","Family_40","Family_63"
"CD78","CD78Site_10","Gabon","AC","Animal","Site_10","Frugivore_189","Plant_201","Family_40","Family_25"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_101","Family_40","Family_6"
"CD78","CD78Site_10","Gabon","AC","Animal","Site_10","Frugivore_189","Plant_37","Family_40","Family_4"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_21","Family_40","Family_3"
"CD78","CD78Site_10","Gabon","AC","Animal","Site_10","Frugivore_189","Plant_415","Family_40","Family_41"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_615","Family_40","Family_58"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_615","Family_40","Family_58"
"CD78","CD78Site_9","Gabon","AC","Animal","Site_9","Frugivore_189","Plant_400","Family_40","Family_38"
"CD74","CD74","Uganda","AE","Animal","Site_11","Frugivore_193","Plant_953","Family_41","Family_94"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_88","Family_41","Family_6"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_39","Family_41","Family_5"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_39","Family_41","Family_5"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_557","Family_41","Family_56"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_557","Family_41","Family_56"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_9","Family_41","Family_3"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_9","Family_41","Family_3"
"CD74","CD74","Uganda","AE","Animal","Site_11","Frugivore_193","Plant_447","Family_41","Family_47"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_558","Family_41","Family_56"
"CD62","CD62","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_558","Family_41","Family_56"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_4","Family_41","Family_2"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_141","Family_41","Family_14"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_141","Family_41","Family_14"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_141","Family_41","Family_14"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_159","Family_41","Family_18"
"CD74","CD74","Uganda","AE","Animal","Site_11","Frugivore_193","Plant_159","Family_41","Family_18"
"CD62","CD62","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_159","Family_41","Family_18"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_164","Family_41","Family_18"
"CD62","CD62","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_164","Family_41","Family_18"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_167","Family_41","Family_18"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_892","Family_41","Family_84"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_193","Plant_892","Family_41","Family_84"
"CD31","CD31","Uganda","AE","Animal","Site_5","Frugivore_193","Plant_893","Family_41","Family_84"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_947","Family_41","Family_93"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_947","Family_41","Family_93"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_47","Family_41","Family_5"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_47","Family_41","Family_5"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_47","Family_41","Family_5"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_137","Family_41","Family_13"
"CD73","CD73","Tanzania","AE","Animal","Site_14","Frugivore_193","Plant_137","Family_41","Family_13"
"CD62","CD62","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_137","Family_41","Family_13"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_628","Family_41","Family_61"
"CD74","CD74","Uganda","AE","Animal","Site_11","Frugivore_193","Plant_767","Family_41","Family_79"
"CD70","CD70","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_345","Family_41","Family_38"
"CD62","CD62","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_345","Family_41","Family_38"
"CD74","CD74","Uganda","AE","Animal","Site_11","Frugivore_193","Plant_727","Family_41","Family_75"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_497","Family_41","Family_51"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_497","Family_41","Family_51"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_121","Family_41","Family_9"
"CD24","CD24","Cameroon","AC","Animal","Site_13","Frugivore_193","Plant_121","Family_41","Family_9"
"CD62","CD62","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_560","Family_41","Family_56"
"CD62","CD62","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_581","Family_41","Family_56"
"CD62","CD62","Uganda","AE","Animal","Site_12","Frugivore_193","Plant_594","Family_41","Family_56"
"CD73","CD73","Tanzania","AE","Animal","Site_14","Frugivore_193","Plant_193","Family_41","Family_25"
