"Animal_Species_Generic","Animal_Family_Generic","Animal_Class"
"Frugivore_244","Family_48","Mammalia"
"Frugivore_245","Family_48","Mammalia"
"Frugivore_246","Family_48","Mammalia"
"Frugivore_247","Family_48","Mammalia"
"Frugivore_248","Family_48","Mammalia"
"Frugivore_249","Family_48","Mammalia"
"Frugivore_250","Family_48","Mammalia"
"Frugivore_251","Family_48","Mammalia"
"Frugivore_252","Family_48","Mammalia"
"Frugivore_253","Family_49","Mammalia"
"Frugivore_254","Family_49","Mammalia"
"Frugivore_255","Family_50","Mammalia"
"Frugivore_256","Family_50","Mammalia"
"Frugivore_257","Family_50","Mammalia"
"Frugivore_258","Family_50","Mammalia"
"Frugivore_259","Family_50","Mammalia"
"Frugivore_260","Family_50","Mammalia"
"Frugivore_261","Family_50","Mammalia"
"Frugivore_262","Family_50","Mammalia"
"Frugivore_263","Family_50","Mammalia"
"Frugivore_264","Family_50","Mammalia"
"Frugivore_265","Family_50","Mammalia"
"Frugivore_266","Family_50","Mammalia"
"Frugivore_267","Family_51","Mammalia"
